2025-04-06 23:50:11,386 | INFO | ➡️ POST /auth/jwt/login | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:11,523 | INFO | ⬅️ POST /auth/jwt/login | Status: 200 | Time: 0.137s
2025-04-06 23:50:11,621 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:11,626 | INFO | ➡️ GET /runs/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:11,687 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.066s
2025-04-06 23:50:11,741 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:11,770 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.029s
2025-04-06 23:50:11,838 | INFO | ⬅️ GET /runs/ | Status: 200 | Time: 0.212s
2025-04-06 23:50:11,841 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:11,858 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.018s
2025-04-06 23:50:29,310 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:29,315 | INFO | ➡️ GET /profiles/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:29,319 | INFO | ➡️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/profile-info | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:29,320 | INFO | ➡️ GET /diagnoses/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:29,392 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.083s
2025-04-06 23:50:29,510 | INFO | ⬅️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/profile-info | Status: 200 | Time: 0.191s
2025-04-06 23:50:29,637 | INFO | ⬅️ GET /profiles/ | Status: 200 | Time: 0.321s
2025-04-06 23:50:29,664 | INFO | ⬅️ GET /diagnoses/ | Status: 200 | Time: 0.344s
2025-04-06 23:50:30,311 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:30,321 | INFO | ➡️ GET /diagnoses/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:30,337 | INFO | ➡️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/defaults/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:30,339 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.028s
2025-04-06 23:50:30,358 | INFO | ⬅️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/defaults/ | Status: 200 | Time: 0.021s
2025-04-06 23:50:30,391 | INFO | ⬅️ GET /diagnoses/ | Status: 200 | Time: 0.07s
2025-04-06 23:50:37,079 | INFO | ➡️ GET /diagnoses/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:37,079 | INFO | ➡️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/defaults/ | User: Anonymous | IP: 172.18.0.6
2025-04-06 23:50:37,101 | INFO | ⬅️ GET /users/c12b3994-dfaf-4b3b-8906-5bb812c4a87b/defaults/ | Status: 200 | Time: 0.022s
2025-04-06 23:50:37,142 | INFO | ⬅️ GET /diagnoses/ | Status: 200 | Time: 0.063s
2025-04-07 00:16:05,285 | INFO | ➡️ GET / | User: Anonymous | IP: 206.168.34.209
2025-04-07 00:16:05,286 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 00:16:08,121 | INFO | ➡️ GET /favicon.ico | User: Anonymous | IP: 206.168.34.209
2025-04-07 00:16:08,122 | INFO | ⬅️ GET /favicon.ico | Status: 404 | Time: 0.001s
2025-04-07 00:16:08,275 | INFO | ➡️ PRI  | User: Anonymous | IP: 206.168.34.209
2025-04-07 00:16:08,276 | INFO | ⬅️ PRI  | Status: 404 | Time: 0.001s
2025-04-07 00:16:29,847 | INFO | ➡️ GET /favicon.ico | User: Anonymous | IP: 206.168.34.209
2025-04-07 00:16:29,848 | INFO | ⬅️ GET /favicon.ico | Status: 404 | Time: 0.002s
2025-04-07 01:00:32,975 | INFO | ➡️ GET / | User: Anonymous | IP: 180.17.136.119
2025-04-07 01:00:32,976 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 02:18:59,046 | INFO | ➡️ GET / | User: Anonymous | IP: 220.246.51.133
2025-04-07 02:18:59,047 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 02:32:00,116 | INFO | ➡️ GET / | User: Anonymous | IP: 134.199.235.213
2025-04-07 02:32:00,116 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 02:32:00,151 | INFO | ➡️ GET /favicon.ico | User: Anonymous | IP: 134.199.235.213
2025-04-07 02:32:00,152 | INFO | ⬅️ GET /favicon.ico | Status: 404 | Time: 0.001s
2025-04-07 02:55:42,079 | INFO | ➡️ GET / | User: Anonymous | IP: 103.203.57.20
2025-04-07 02:55:42,080 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 03:43:25,464 | INFO | ➡️ GET / | User: Anonymous | IP: 120.50.65.8
2025-04-07 03:43:25,465 | INFO | ⬅️ GET / | Status: 200 | Time: 0.001s
2025-04-07 04:12:59,617 | INFO | ➡️ POST /auth/jwt/login | User: Anonymous | IP: 172.18.0.6
2025-04-07 04:12:59,768 | INFO | ⬅️ POST /auth/jwt/login | Status: 200 | Time: 0.152s
2025-04-07 04:13:00,054 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-07 04:13:00,085 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.031s
2025-04-07 04:13:00,141 | INFO | ➡️ GET /runs/ | User: Anonymous | IP: 172.18.0.6
2025-04-07 04:13:00,182 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-07 04:13:00,256 | INFO | ⬅️ GET /runs/ | Status: 200 | Time: 0.115s
2025-04-07 04:13:00,327 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.145s
2025-04-07 04:13:00,383 | INFO | ➡️ GET /runs/remaining | User: Anonymous | IP: 172.18.0.6
2025-04-07 04:13:00,401 | INFO | ⬅️ GET /runs/remaining | Status: 200 | Time: 0.018s
